Site Name,Pollution Board,City,Latitude,Longitude
ECIL Kapra,TSPCB,Hyderabad,17.470358,78.566894
Nacharam  IALA ,TSPCB,Hyderabad,17.429348,78.569297
Louis Braille Malakpet,TSPCB,Hyderabad,17.372073,78.50866
Khairthabad RTO office,TSPCB,Hyderabad,17.417116,78.457475
Kompally ,TSPCB,Hyderabad,17.544866,78.487001
Kokapet Community Hall,TSPCB,Hyderabad,17.393563,78.339247
Symphony Park RC Puram,TSPCB,Hyderabad,17.528552,78.286225
IIT Hyderabad ,TSPCB,Hyderabad,17.58567,78.126225
IDA Pashamylaram,TSPCB,Hyderabad,17.527465,78.176807
Bollaram Industrial Area,TSPCB,Hyderabad,17.540891,78.358528
ICRISAT Patancheru,TSPCB,Hyderabad,17.514423,78.274611
Hyderabad Central University (HCU),TSPCB,Hyderabad,17.460103,78.334361
Sanathnagar,TSPCB,Hyderabad,17.457121,78.443493
ZOO Park,TSPCB,Hyderabad,17.349694,78.451437